job_title,company_name,position_type,job_location,skills,experience
Senior Data Engineer,Quantiphi Analytics Solutions Private Limited,Full time,"Bengaluru / Bangalore, India","row level security,optimization strategies,Tableau,Reports,Dashboards",1-3 Years
Diagnostic Data Engineer,Volvo India Limited,Full time,"Bengaluru / Bangalore, India","UDS on CAN,Polymer,Business and data modelling,Extended Vehicle / knowledge",7-10 Years
Big Data,Wintech Services ( India) Private Limited,Full time,Bengaluru / Bangalore,"Big Data Engineer,Python,AWS,Sql",4-10 Years
"Data Engineer, Digital Acceleration",Amazon Music,Full time,"Chennai, India","Warehousing,non-relational databases,column-family databases",3-5 Years
Cloud BI Data Engineer,NTT Data,Full time,"Noida, India","AWS Postgres,Sql,Agile,Python,Data Modelling,Json,Redshift",3-5 Years
Data Engineer -Connected Care- Associate/Associate consultant,Eli Lilly And Company,Full time,Bengaluru / Bangalore,"oral presentations,Data Analysis,Problem Solving,business process expertise",0-2 Years
Consulting_SAMA_A&C_Azure Data Engineer_Manager/Senior Consultant-Accelerated Hiring,Deloitte,Full time,"Bengaluru / Bangalore, India","Azure Data Lake Storage,Integration Runtimes,HD Insight,Stream Analytics",3-8 Years
Software Engineer III - Data Engineer,Chase Bank,Full time,"Hyderabad / Secunderabad, Telangana, India","CI/CD,Applicant Resiliency,Mobile,modern programming languages",3-5 Years
Business Intelligence & Data Engineer,Newfold Digital,Full time,"Remote, India","BI/Data,Oracle SQL/PL SQL,Tableau/ SSAS/ SSRS,Warehouse,SSIS",2-3 Years
Consultant - Business Consulting (AILABS - Data Engineer),Infosys Limited,Full time,"Hyderabad / Secunderabad, Telangana, India","cd/cd,python,Git,Rest Api,Pyspark,Pandas,olap,Azure,Devops",3-10 Years
EDE3-Senior Data Engineer_2,Robert Bosch,Full time,India,"python,hadoop,Nosql,Java,Spark,Azure,Golang,aws,Sql",5-10 Years
Consulting - BO - Cloud Engineering - Senior Consultant - Azure Data Engineer,Deloitte,Full time,"Bengaluru / Bangalore, India","MS SQL RDBMS,SQL Query Language,data warehouse transformation processes",6-9 Years
Consulting_SAMA_A&C_Azure Data Engineer_Manager/Senior Consultant-Accelerated Hiring,Deloitte,Full time,"Bengaluru / Bangalore, India","Azure Data Lake Storage,Integration Runtimes,HD Insight,Stream Analytics",3-8 Years
Generative AI - Cloud Data Engineer,Eli Lilly And Company,Full time,Bengaluru / Bangalore,"AWS CodeBuilt,Aurora,GLUE,Athena,AWS Code Pipeline,S3,RDS",5-7 Years
Senior Data Engineer,Swiss Re,Full time,"Hyderabad / Secunderabad, Telangana, India","analytical,Problem-solving,communication,Financial Industry,Interpersonal",7-9 Years
"Data Engineer II, S3P Data Engineering",Amazon Music,Full time,"Bengaluru / Bangalore, India","Computing,non-relational databases,column-family databases,firehose",5-7 Years
Data Engineer -Connected Care- Associate/Associate consultant,Eli Lilly And Company,Full time,Bengaluru / Bangalore,"oral presentations,Data Analysis,Problem Solving,business process expertise",0-2 Years
Expert Data Engineer,Swiss Re,Full time,"Hyderabad / Secunderabad, Telangana, India","Python,Sql,Scrum,Agile,HTML,CSS,Big Data,Pyspark,Javascript",10-12 Years
Sr. Data Engineer,Providence India,Full time,India,"Sharepoint,API Governance,Data Analysis,Database,Networking",7-10 Years
Senior Data Engineer,Swiss Re,Full time,"Hyderabad / Secunderabad, Telangana, India","analytical,Problem-solving,communication,Financial Industry,Interpersonal",7-9 Years
Consulting - BO - Cloud Engineering - Consultant - Azure Data Engineer,Deloitte,Full time,"Bengaluru / Bangalore, India","MS SQL RDBMS,SQL Query Language,Azure SQL Data Warehouse,Microsoft Visual Studio Team Services",4-6 Years
Senior Data Engineer,Quantiphi Analytics Solutions Private Limited,Full time,"Bengaluru / Bangalore, India","row level security,optimization strategies,Tableau,Reports,Dashboards",1-3 Years
Data Engineer,Activision Blizzard,Full time,"Hyderabad / Secunderabad, Telangana, India","snowflake,Airflow,ETL processes,Sql,BigQuery,Data Modeling",2-4 Years
Data Engineer (MongoDB administration)- Remote WFH,Rackspace Technology,Full time,"Gurgaon / Gurugram, India","Unix/Shell Scripting,MongoDB,Redis,Python,Elasticsearch,Linux",6-12 Years
Consulting- SAMA- A&C- AWS Data Engineer- Manager,Deloitte,Full time,"Bengaluru / Bangalore, India","Infrastructure,Scaling,Tools,Glue,Auto,Deployment,Elastic",2-12 Years
Data Engineer,PayPal,Full time,"Chennai, India","streaming systems,data modeling best practices,data movement techniques",2-4 Years
Data Engineer,Swiss Re,Full time,"Hyderabad / Secunderabad, Telangana, India","Microsoft Excel,Power Bi,Sql,Data Modelling,RDBMS",1-4 Years
"Data Engineer, Digital Acceleration",Amazon Music,Full time,"Chennai, India","Warehousing,non-relational databases,column-family databases",3-5 Years
Manager_Lead_GCP Data Engineer_Pune,Vodafone Intelligent Solutions,Full time,"Pune, India","GCP Big Query,MPP databases,performance/cost optimization techniques",3-6 Years
Software Engineer III - Data Engineer,Chase Bank,Full time,"Hyderabad / Secunderabad, Telangana, India","CI/CD,Applicant Resiliency,Mobile,modern programming languages",3-5 Years
Manager_Lead_GCP Data Engineer_Pune,Vodafone Intelligent Solutions,Full time,"Pune, India",,Fresher
Consultant - Business Consulting (AILABS - Data Engineer),Infosys Limited,Full time,"Hyderabad / Secunderabad, Telangana, India","cd/cd,python,Git,Rest Api,Pyspark,Pandas,olap,Azure,Devops",3-10 Years
Expert Data Engineer,Swiss Re,Full time,"Hyderabad / Secunderabad, Telangana, India","Python,Sql,Scrum,Agile,HTML,CSS,Big Data,Pyspark,Javascript",10-12 Years
EDE3-Senior Data Engineer_2,Robert Bosch,Full time,India,"python,hadoop,Nosql,Java,Spark,Azure,Golang,aws,Sql",5-10 Years
Senior Data Engineer / Technical Lead - Snowflake,Tredence Analytics Solutions Private Limited,Full time,Bengaluru / Bangalore,"snowflake,dbt,Data Engineer,Etl,Sql",5-13 Years
Azure web application development/ Data Engineer,Conneqt Business Solutions Limited,Full time,Bengaluru / Bangalore,"Web Applications,Python,Angular,Rest Api",4-5 Years
snowflake data engineer,Happy Square Outsourcing Services Private Limited,Full time,Bengaluru / Bangalore,"snowflake,Azure(added,Microsoft Azure,Sql,Sql",6-11 Years
Azure Data Engineer,Changeleaders Consulting Private Limited,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Azure,Data Engineer,datafactory,databricks",4-14 Years
Data Engineer,The Reycruit,Full time,"Bengaluru / Bangalore, Remote","Data Engineer,Big Data,Python,Scala,Java",5-8 Years
Data engineer,Intuitive Apps India Private Limited,Full time,Gurgaon / Gurugram,"databrics,dataengineerPL-SQL,Spark,Sql,SQL server",4-7 Years
Senior Manager_Project Manager_AWS Data Engineer_D&A_Pune,Vodafone Intelligent Solutions,Full time,"Pune, India","data models,aws athena,aws kinesis,Aws Redshift,Iam,Database Design",0-2 Years
Data Engineer - Architect,FIS Global Business Solutions India Private Limited,Full time,"Bengaluru / Bangalore, India","API Integrations,Synapse,PowerBI Reports,Active Directory/LDAP",5-12 Years
